# Sample number;Sensor position;AccX;AccY;AccZ;GyroX;GyroY;GyroZ;MagX;MagY;MagZ;Sensor position;AccX;AccY;AccZ;GyroX;GyroY;GyroZ;MagX;MagY;MagZ;Sensor position;AccX;AccY;AccZ;GyroX;GyroY;GyroZ;MagX;MagY;MagZ;Init algo done;Pause;
0;0;0.803164;2.449160;9.929240;-0.406229;0.241513;0.219769;0.508882;0.094213;-1.088237;1;-0.915991;0.949226;9.829235;0.126877;0.247826;-0.141298;0.492832;-0.361779;-0.697174;6;9.733211;-1.215439;-0.001330;0.858161;1.048997;-0.578619;-0.596492;0.072980;-0.156433;0;0;
1;0;0.623896;2.045504;9.526238;0.085267;0.553555;0.008751;0.070731;-0.299117;-0.646949;1;-0.684413;0.892512;9.890663;0.220183;0.309526;-0.017297;0.033628;0.010400;-1.011676;6;10.017442;-0.811807;-0.533260;1.012447;0.894082;-0.333937;-0.541381;-0.143648;0.288671;1;0;
2;0;0.846150;2.158774;9.190056;0.056868;0.828607;0.135974;0.070345;-0.285346;-0.650365;1;-0.736257;1.061848;10.172795;0.159214;0.370274;-0.047570;0.021092;-0.018173;-1.038092;6;9.963793;-0.752360;-0.234578;0.672073;0.398385;0.158667;-0.597012;-0.144465;0.288391;1;0;
3;0;0.571961;2.391401;9.810838;0.149358;0.952658;0.076388;0.098257;-0.341522;-0.584512;1;-0.631013;1.173914;9.722191;0.125942;0.185691;-0.018604;0.008040;-0.033568;-1.036813;6;9.732806;-1.041211;-0.000589;0.330917;0.059420;0.283772;-0.554733;-0.094449;0.270562;1;0;
4;0;0.510418;2.160712;9.581347;0.210741;0.890090;0.197866;0.085609;-0.309734;-0.657959;1;0.007473;0.947596;9.961857;0.095633;0.245623;0.136108;0.020432;0.024573;-0.998054;6;10.023775;-0.694172;-0.173324;0.607691;-0.031350;0.283203;-0.554241;-0.081561;0.331836;1;0;
5;0;0.619525;1.929656;9.298343;0.239370;0.708277;-0.019846;0.084451;-0.268421;-0.668206;1;-0.566972;0.948722;10.006408;0.159682;0.429993;0.199649;0.019835;-0.037781;-0.979690;6;9.724967;-0.984866;-0.419690;0.640469;0.151352;0.373901;-0.555076;-0.146331;0.335185;1;0;
6;0;0.114505;1.587551;9.798552;0.116385;0.646241;-0.020501;0.084480;-0.303020;-0.633222;1;-0.681887;0.836276;10.003895;0.092398;-0.000301;0.226144;0.046823;-0.003774;-1.025297;6;9.609001;-0.926025;-0.301830;0.945878;0.251164;-0.300065;-0.568429;-0.097132;0.317075;1;0;
7;0;0.571427;1.586979;9.750607;0.394892;1.046694;0.015874;0.084494;-0.320319;-0.615731;1;-0.622120;0.948924;10.118478;0.096569;0.336410;0.321980;0.020507;0.039894;-0.999057;6;9.731995;-0.692755;0.000895;0.483954;0.279460;-0.237401;-0.568570;-0.095479;0.286020;1;0;
8;0;0.450854;2.275154;9.467010;1.012273;1.568866;0.298594;0.084851;-0.299492;-0.647298;1;-0.624861;1.117821;10.005341;0.188276;0.246597;0.167020;0.019911;-0.022460;-0.980693;6;9.612032;-0.809131;-0.121614;0.393670;0.368059;0.037569;-0.541101;-0.128282;0.303362;1;0;
9;0;0.915529;2.333711;9.817278;1.042867;1.694369;0.085871;0.056996;-0.312514;-0.643184;1;-0.798335;0.892775;9.944885;0.034273;0.275705;0.105530;0.033332;0.009328;-0.997326;6;9.602533;-0.985585;-0.661518;0.580929;0.271281;0.587486;-0.568566;-0.114150;0.333440;1;0;
10;0;0.631691;2.047193;9.924210;0.981265;1.569766;0.206695;0.069973;-0.288874;-0.636289;1;-0.685621;0.892464;9.834024;0.189056;0.307927;0.167631;0.007896;-0.003999;-1.024470;6;9.661975;-0.695092;-0.599275;0.798765;0.206150;1.045454;-0.541239;-0.145301;0.319727;1;0;
11;0;0.628433;1.931586;9.753168;1.041361;1.573528;-0.100097;0.027254;-0.308578;-0.603674;1;-0.465893;1.342298;9.386122;0.157968;0.306529;0.321732;0.046603;0.010475;-1.011951;6;9.487532;-0.868421;-0.483504;0.547173;0.369874;-0.085247;-0.555497;-0.160045;0.289438;1;0;
12;0;0.392569;2.160071;9.408561;0.949624;1.509897;0.052473;0.071131;-0.330188;-0.626042;1;-0.274740;1.173695;10.239200;0.282675;0.399890;0.353589;0.046748;-0.019094;-1.024294;6;9.668577;-0.693609;-0.239833;0.203849;0.438660;-0.940089;-0.554591;-0.096101;0.301618;1;0;
