"Zeitstempel","In which type of space is your motion data recorded? ","Which raw data format would you find the most useful for motion data? ","What type of brain imaging modality do you record in conjunction with motion data? ","What are the types of continuous data included in your raw data set? ","What are the types of continuous data you would find useful when shared by others? ","[optional] Which coordinate system do you use to represent positions?","[optional] Which system do you use to represent orientations?","[optional, in case you use motion capture] What type of motion capture system do you use? ","[optional, in case you use motion capture] How do you define placement of tracked points on the participant's body? ","[optional] In case you are using a predefined placement system, please specify which it is. ","Thank you for taking your time! Are there any comments or requests related to BIDS motion?"
"2020/07/10 12:24:51 PM OEZ","Physical (motion capture)",".tsv","EEG (scalp/intracranial);fNIRS","Position time series  (motion capture, GPS, etc.);Velocity/acceleration/other position time derivatives;Time stamps (a continuous stream containing time stamps for all samples of motion data)","Position time series;Velocity/acceleration/other position time derivatives;Orientation time series;Angular velocity/angular acceleration/other orientation time derivatives;Joint angle time series;Time stamps (a continuous stream containing time stamps for all samples of motion data);any data that relates specifically to the motion experiment and recording,  including tasks and events","Cartesian","Quaternions","both marker-based and IMU based","Predefined placement system by a manufacturer","","I hope it build up on (and extend) established open standards in motion research, rather than inventing new standards that have to compete with the ones that are already established"
"2020/07/10 12:57:22 PM OEZ","Physical (motion capture)",".xdf","EEG (scalp/intracranial);fNIRS","Position time series  (motion capture, GPS, etc.);Velocity/acceleration/other position time derivatives","Velocity/acceleration/other position time derivatives","Cartesian","Euler angles","Inertial system (Inertial measurment units, IMU)","Custom verbal description (e.g., head, arm, left leg ...)","","Thanks for your efforts, greatly appreciated!!!!"
"2020/07/10 2:00:09 PM OEZ","Physical (motion capture)",".xdf","EEG (scalp/intracranial)","Position time series  (motion capture, GPS, etc.);Velocity/acceleration/other position time derivatives;Orientation time series (headings);Angular velocity/angular acceleration/other orientation time derivatives;Time stamps (a continuous stream containing time stamps for all samples of motion data)","Position time series;Velocity/acceleration/other position time derivatives;Angular velocity/angular acceleration/other orientation time derivatives;Time stamps (a continuous stream containing time stamps for all samples of motion data)","Cartesian","Quaternions","Inertial system (Inertial measurment units, IMU)","Custom verbal description (e.g., head, arm, left leg ...)","",""
"2020/07/10 2:31:29 PM OEZ","Physical (motion capture)",".tsv","EEG (scalp/intracranial);fMRI","Position time series  (motion capture, GPS, etc.);Time stamps (a continuous stream containing time stamps for all samples of motion data)","Position time series;Magnetometer output","If you measure hand movement with a dataglove there is no absolute position","","","Custom verbal description (e.g., head, arm, left leg ...)","",""
"2020/07/10 7:17:31 PM OEZ","Physical (motion capture)",".mat","none (just behavioral)","Position time series  (motion capture, GPS, etc.);Velocity/acceleration/other position time derivatives;Orientation time series (headings);Angular velocity/angular acceleration/other orientation time derivatives;Joint angle time series;Magnetometer output;Time stamps (a continuous stream containing time stamps for all samples of motion data)","Position time series;Velocity/acceleration/other position time derivatives;Orientation time series;Angular velocity/angular acceleration/other orientation time derivatives","Cartesian","Euler angles;Quaternions","Marker-based motion capture;Inertial system (Inertial measurment units, IMU)","Custom verbal description (e.g., head, arm, left leg ...);Image files (pictures of placement of markers/trackers on participants body);Anatomical landmarks","",""
"2020/07/10 8:24:21 PM OEZ","Physical (motion capture);Virtual (motion of a virtual object)","no preference","EEG (scalp/intracranial);fMRI","Position time series  (motion capture, GPS, etc.);Velocity/acceleration/other position time derivatives;Orientation time series (headings);Time stamps (a continuous stream containing time stamps for all samples of motion data)","Position time series;Orientation time series;Time stamps (a continuous stream containing time stamps for all samples of motion data)","Cartesian","Euler angles","virtual: non marker, based on virtual units. real-world: based on AR toolkit's positional information within the augmented area","","","While rarer, chronic neuro-recordings should also be considered as part of this category (e.g Neuropace patients)"
"2020/07/11 7:29:54 AM OEZ","Physical (motion capture);Virtual (motion of a virtual object)",".csv","fMRI","Angular velocity/angular acceleration/other orientation time derivatives","Angular velocity/angular acceleration/other orientation time derivatives;Time stamps (a continuous stream containing time stamps for all samples of motion data)","Cartesian","","","","","Would be interested in empirically derived guidelines how much motion qualifies a dataset for exclusion"
"2020/07/13 9:31:31 AM OEZ","Physical (motion capture)",".set","EEG (scalp/intracranial)","Velocity/acceleration/other position time derivatives;Angular velocity/angular acceleration/other orientation time derivatives;Time stamps (a continuous stream containing time stamps for all samples of motion data)","Position time series;Velocity/acceleration/other position time derivatives;Angular velocity/angular acceleration/other orientation time derivatives;Joint angle time series;Time stamps (a continuous stream containing time stamps for all samples of motion data)","","","Inertial system (Inertial measurment units, IMU)","Custom verbal description (e.g., head, arm, left leg ...)","",""
"2020/07/13 11:47:09 AM OEZ","Physical (motion capture)",".csv","EEG (scalp/intracranial)","Velocity/acceleration/other position time derivatives;Joint angle time series;Time stamps (a continuous stream containing time stamps for all samples of motion data)","Position time series;Velocity/acceleration/other position time derivatives;Angular velocity/angular acceleration/other orientation time derivatives;Joint angle time series;Time stamps (a continuous stream containing time stamps for all samples of motion data)","","","Marker-based motion capture;Inertial system (Inertial measurment units, IMU)","Anatomical landmarks","",""
"2020/07/13 6:00:01 PM OEZ","Physical (motion capture);Virtual (motion of a virtual object)",".xdf","EEG (scalp/intracranial)","Position time series  (motion capture, GPS, etc.);Orientation time series (headings);Time stamps (a continuous stream containing time stamps for all samples of motion data);eye tracking data (position in 2D and 3D virtual space, plus pupillometry)","Position time series;Orientation time series;Time stamps (a continuous stream containing time stamps for all samples of motion data)","Cartesian","Quaternions","Marker-based motion capture;SteamVR Lighthouse Tracking","Custom verbal description (e.g., head, arm, left leg ...)","","I believe eye tracking data is both important and especially in VR likely to be used regularly, so it might be a useful standardized addition."
